Chr	start	end	C_count	CT_count
chr1	0	100000	829	46470
chr1	100000	200000	209	52642
chr1	200000	300000	1658	58128
chr1	300000	400000	184	61814
chr1	400000	500000	483	51663
chr1	500000	600000	500	50045
chr1	600000	700000	435	52697
chr1	700000	800000	346	57540
chr1	800000	900000	230	58281
chr1	900000	1000000	206	51344
chr1	1000000	1100000	183	63156
chr1	1100000	1200000	384	48947
chr1	1200000	1300000	282	57696
chr1	1300000	1400000	209	59324
chr1	1400000	1500000	820	51284
chr1	1500000	1600000	355	47535
chr1	1600000	1700000	325	56624
chr1	1700000	1800000	378	57374
chr1	1800000	1900000	277	51189
chr1	1900000	2000000	517	55398
chr1	2000000	2100000	207	61589
chr1	2100000	2200000	344	55241
chr1	2200000	2300000	198	54659
chr1	2300000	2400000	270	51891
chr1	2400000	2500000	508	54045
chr1	2500000	2600000	671	53013
chr1	2600000	2700000	283	53182
chr1	2700000	2800000	219	53416
chr1	2800000	2900000	149	55251
chr1	2900000	3000000	390	53944
chr1	3000000	3100000	615	53293
chr1	3100000	3200000	218	59697
chr1	3200000	3300000	276	53124
chr1	3300000	3400000	767	57936
chr1	3400000	3500000	795	54705
chr1	3500000	3600000	739	51928
chr1	3600000	3700000	177	60333
chr1	3700000	3800000	266	49633
chr1	3800000	3900000	1417	53734
chr1	3900000	4000000	455	48283
chr1	4000000	4100000	269	48263
chr1	4100000	4200000	314	46180
chr1	4200000	4300000	323	50353
chr1	4300000	4400000	192	55963
chr1	4400000	4500000	743	53819
chr1	4500000	4600000	385	45912
chr1	4600000	4700000	638	44298
chr1	4700000	4800000	443	54213
chr1	4800000	4900000	770	53554
chr1	4900000	5000000	502	52940
chr1	5000000	5100000	185	52734
chr1	5100000	5200000	399	48644
chr1	5200000	5300000	247	63949
chr1	5300000	5400000	921	51743
chr1	5400000	5500000	259	62964
chr1	5500000	5600000	314	63102
chr1	5600000	5700000	4664	56993
chr1	5700000	5800000	404	62025
chr1	5800000	5900000	529	56619
chr1	5900000	6000000	2443	58829
chr1	6000000	6100000	3544	63529
chr1	6100000	6200000	1177	52427
chr1	6200000	6300000	742	51326
chr1	6300000	6400000	328	56514
chr1	6400000	6500000	668	50253
chr1	6500000	6600000	3457	52149
chr1	6600000	6700000	893	48131
chr1	6700000	6800000	1296	46994
chr1	6800000	6900000	152	51613
chr1	6900000	7000000	236	51349
chr1	7000000	7100000	4593	51508
chr1	7100000	7200000	287	51314
chr1	7200000	7300000	855	53837
chr1	7300000	7400000	467	42354
chr1	7400000	7500000	1225	51416
chr1	7500000	7600000	290	53888
chr1	7600000	7700000	320	51589
chr1	7700000	7800000	2104	44465
chr1	7800000	7900000	328	47317
chr1	7900000	8000000	4191	46215
chr1	8000000	8100000	436	50869
chr1	8100000	8200000	613	43994
chr1	8200000	8300000	1494	45283
chr1	8300000	8400000	1023	47221
chr1	8400000	8500000	2258	45929
chr1	8500000	8600000	668	47775
chr1	8600000	8700000	1513	54435
chr1	8700000	8800000	5685	39023
chr1	8800000	8900000	460	29511
chr1	8900000	9000000	4251	52752
chr1	9000000	9100000	1465	51833
chr1	9100000	9200000	1435	50262
chr1	9200000	9300000	450	46686
chr1	9300000	9400000	4430	43745
chr1	9400000	9500000	304	48900
chr1	9500000	9600000	6233	54691
chr1	9600000	9700000	1682	47452
chr1	9700000	9800000	622	55431
chr1	9800000	9900000	905	43220
chr1	9900000	10000000	1385	45656
chr1	10000000	10100000	813	47498
chr1	10100000	10200000	1294	46405
chr1	10200000	10300000	319	44187
chr1	10300000	10400000	4815	57144
chr1	10400000	10500000	560	53497
chr1	10500000	10600000	2048	36827
chr1	10600000	10700000	4261	48431
chr1	10700000	10800000	2168	55349
chr1	10800000	10900000	610	51953
chr1	10900000	11000000	2002	43761
chr1	11000000	11100000	5481	44395
chr1	11100000	11200000	2549	41410
chr1	11200000	11300000	1024	46901
chr1	11300000	11400000	7077	46357
chr1	11400000	11500000	1103	46000
chr1	11500000	11600000	4368	49032
chr1	11600000	11700000	1708	44529
chr1	11700000	11800000	1789	39178
chr1	11800000	11900000	3479	39932
chr1	11900000	12000000	2011	45395
chr1	12000000	12100000	5437	43021
chr1	12100000	12200000	3777	51221
chr1	12200000	12300000	3940	44696
chr1	12300000	12400000	4298	44615
chr1	12400000	12500000	8310	52252
chr1	12500000	12600000	6366	42895
chr1	12600000	12700000	5840	38976
chr1	12700000	12800000	4822	21081
chr1	12800000	12900000	9421	32704
chr1	12900000	13000000	7048	42187
chr1	13000000	13100000	12248	46495
chr1	13100000	13200000	11057	40440
chr1	13200000	13300000	12402	42281
chr1	13300000	13400000	16771	44785
chr1	13400000	13500000	15768	48321
chr1	13500000	13600000	14924	49009
chr1	13600000	13700000	22057	52608
chr1	13700000	13800000	15278	41543
chr1	13800000	13900000	15442	42045
chr1	13900000	14000000	18017	44417
chr1	14000000	14100000	15003	47650
chr1	14100000	14200000	19538	49232
chr1	14200000	14300000	25007	44710
chr1	14300000	14400000	7260	16593
chr1	14400000	14500000	10851	21991
chr1	14500000	14600000	8233	17732
chr1	14600000	14700000	2860	7163
chr1	14700000	14800000	762	1925
chr1	14800000	14900000	1377	3110
chr1	14900000	15000000	2209	6225
chr1	15000000	15100000	15811	35219
chr1	15100000	15200000	9305	17556
chr1	15200000	15300000	2234	4369
chr1	15300000	15400000	73	127
chr1	15400000	15500000	13462	26402
chr1	15500000	15600000	25401	52837
chr1	15600000	15700000	19738	47836
chr1	15700000	15800000	21020	46652
chr1	15800000	15900000	17678	42137
chr1	15900000	16000000	13395	48969
chr1	16000000	16100000	20714	46646
chr1	16100000	16200000	12556	41928
chr1	16200000	16300000	10000	35712
chr1	16300000	16400000	25723	53583
chr1	16400000	16500000	10382	44562
chr1	16500000	16600000	20946	50079
chr1	16600000	16700000	13755	42235
chr1	16700000	16800000	9541	43237
chr1	16800000	16900000	5838	35619
chr1	16900000	17000000	8885	45315
chr1	17000000	17100000	9511	46561
chr1	17100000	17200000	2460	40630
chr1	17200000	17300000	9196	44006
chr1	17300000	17400000	7064	49108
chr1	17400000	17500000	3872	44479
chr1	17500000	17600000	8796	41229
chr1	17600000	17700000	13691	51553
chr1	17700000	17800000	1458	54040
chr1	17800000	17900000	3081	51066
chr1	17900000	18000000	857	55819
chr1	18000000	18100000	4492	48445
chr1	18100000	18200000	2795	45288
chr1	18200000	18300000	1086	47963
chr1	18300000	18400000	1801	49463
chr1	18400000	18500000	1002	49623
chr1	18500000	18600000	978	56345
chr1	18600000	18700000	1764	55869
chr1	18700000	18800000	775	50729
chr1	18800000	18900000	1947	52148
chr1	18900000	19000000	6433	48554
chr1	19000000	19100000	724	44544
chr1	19100000	19200000	845	55937
chr1	19200000	19300000	987	44555
chr1	19300000	19400000	4154	36393
chr1	19400000	19500000	1106	42409
chr1	19500000	19600000	2501	53957
chr1	19600000	19700000	1518	45355
chr1	19700000	19800000	3345	44053
chr1	19800000	19900000	788	50393
chr1	19900000	20000000	507	52277
chr1	20000000	20100000	3923	52463
chr1	20100000	20200000	690	34609
chr1	20200000	20300000	652	56973
chr1	20300000	20400000	3335	50546
chr1	20400000	20500000	1846	39893
chr1	20500000	20600000	756	51976
chr1	20600000	20700000	1463	53451
chr1	20700000	20800000	1993	56099
chr1	20800000	20900000	435	56934
chr1	20900000	21000000	1671	53421
