Chr	start	end	C_count	CT_count
chr1	0	100000	1272	43264
chr1	100000	200000	534	52396
chr1	200000	300000	2115	47835
chr1	300000	400000	238	46497
chr1	400000	500000	1458	48794
chr1	500000	600000	994	49350
chr1	600000	700000	983	42682
chr1	700000	800000	747	44605
chr1	800000	900000	362	45369
chr1	900000	1000000	430	49467
chr1	1000000	1100000	132	45986
chr1	1100000	1200000	1073	46174
chr1	1200000	1300000	715	44027
chr1	1300000	1400000	532	47324
chr1	1400000	1500000	1930	43092
chr1	1500000	1600000	927	44156
chr1	1600000	1700000	921	43528
chr1	1700000	1800000	903	44323
chr1	1800000	1900000	983	42959
chr1	1900000	2000000	564	42557
chr1	2000000	2100000	202	44468
chr1	2100000	2200000	617	50158
chr1	2200000	2300000	242	49733
chr1	2300000	2400000	302	44550
chr1	2400000	2500000	762	42938
chr1	2500000	2600000	1027	43170
chr1	2600000	2700000	366	40995
chr1	2700000	2800000	256	37246
chr1	2800000	2900000	156	40050
chr1	2900000	3000000	658	43948
chr1	3000000	3100000	920	40727
chr1	3100000	3200000	359	41615
chr1	3200000	3300000	395	43611
chr1	3300000	3400000	1459	42537
chr1	3400000	3500000	1181	45433
chr1	3500000	3600000	1113	40846
chr1	3600000	3700000	240	45424
chr1	3700000	3800000	448	43297
chr1	3800000	3900000	2081	43649
chr1	3900000	4000000	1097	45886
chr1	4000000	4100000	911	45619
chr1	4100000	4200000	1133	42431
chr1	4200000	4300000	701	47005
chr1	4300000	4400000	623	44091
chr1	4400000	4500000	1289	44074
chr1	4500000	4600000	765	46355
chr1	4600000	4700000	953	38845
chr1	4700000	4800000	944	42162
chr1	4800000	4900000	710	45218
chr1	4900000	5000000	853	41803
chr1	5000000	5100000	385	46765
chr1	5100000	5200000	671	42198
chr1	5200000	5300000	1645	41831
chr1	5300000	5400000	3942	46753
chr1	5400000	5500000	2020	47865
chr1	5500000	5600000	2626	47063
chr1	5600000	5700000	4516	44303
chr1	5700000	5800000	3344	46642
chr1	5800000	5900000	3128	42004
chr1	5900000	6000000	7242	46820
chr1	6000000	6100000	5666	43266
chr1	6100000	6200000	3927	40145
chr1	6200000	6300000	4322	43681
chr1	6300000	6400000	2417	45189
chr1	6400000	6500000	3306	38678
chr1	6500000	6600000	6370	41257
chr1	6600000	6700000	2633	46323
chr1	6700000	6800000	4173	43180
chr1	6800000	6900000	1978	44421
chr1	6900000	7000000	1087	42552
chr1	7000000	7100000	15012	55370
chr1	7100000	7200000	1745	41669
chr1	7200000	7300000	3540	45445
chr1	7300000	7400000	2315	37964
chr1	7400000	7500000	2698	43188
chr1	7500000	7600000	2378	44721
chr1	7600000	7700000	1367	45091
chr1	7700000	7800000	4715	40590
chr1	7800000	7900000	1318	45334
chr1	7900000	8000000	3590	47639
chr1	8000000	8100000	3627	43599
chr1	8100000	8200000	2272	46238
chr1	8200000	8300000	7423	44194
chr1	8300000	8400000	2655	46179
chr1	8400000	8500000	5547	37796
chr1	8500000	8600000	3102	41923
chr1	8600000	8700000	5906	42959
chr1	8700000	8800000	5470	30627
chr1	8800000	8900000	1185	25397
chr1	8900000	9000000	4636	45793
chr1	9000000	9100000	4465	38375
chr1	9100000	9200000	4236	39789
chr1	9200000	9300000	2898	43299
chr1	9300000	9400000	3927	39596
chr1	9400000	9500000	1992	44711
chr1	9500000	9600000	8362	40090
chr1	9600000	9700000	3909	38020
chr1	9700000	9800000	3826	44402
chr1	9800000	9900000	3395	38874
chr1	9900000	10000000	6833	42944
chr1	10000000	10100000	2611	40004
chr1	10100000	10200000	4728	40774
chr1	10200000	10300000	2297	40283
chr1	10300000	10400000	5117	39824
chr1	10400000	10500000	4517	39553
chr1	10500000	10600000	5165	40328
chr1	10600000	10700000	4206	42696
chr1	10700000	10800000	5519	39572
chr1	10800000	10900000	3204	43003
chr1	10900000	11000000	6827	50067
chr1	11000000	11100000	8085	39349
chr1	11100000	11200000	5748	41026
chr1	11200000	11300000	5296	42414
chr1	11300000	11400000	7916	41894
chr1	11400000	11500000	6455	43849
chr1	11500000	11600000	13945	52435
chr1	11600000	11700000	6319	43354
chr1	11700000	11800000	6273	39133
chr1	11800000	11900000	8223	41731
chr1	11900000	12000000	6035	41718
chr1	12000000	12100000	11712	41908
chr1	12100000	12200000	5542	41292
chr1	12200000	12300000	11510	44313
chr1	12300000	12400000	11956	40914
chr1	12400000	12500000	12036	43008
chr1	12500000	12600000	16569	41325
chr1	12600000	12700000	18746	47169
chr1	12700000	12800000	11742	23579
chr1	12800000	12900000	16853	32785
chr1	12900000	13000000	19272	44312
chr1	13000000	13100000	21265	43601
chr1	13100000	13200000	19923	41923
chr1	13200000	13300000	27131	44355
chr1	13300000	13400000	27310	43795
chr1	13400000	13500000	24625	43031
chr1	13500000	13600000	24916	41168
chr1	13600000	13700000	32785	45236
chr1	13700000	13800000	31063	43400
chr1	13800000	13900000	29503	39488
chr1	13900000	14000000	38103	46062
chr1	14000000	14100000	31826	44566
chr1	14100000	14200000	26725	42810
chr1	14200000	14300000	26081	34570
chr1	14300000	14400000	10983	16020
chr1	14400000	14500000	13948	20110
chr1	14500000	14600000	14466	19242
chr1	14600000	14700000	4374	4985
chr1	14700000	14800000	408	505
chr1	14800000	14900000	1172	1416
chr1	14900000	15000000	4346	5246
chr1	15000000	15100000	32485	45062
chr1	15100000	15200000	17582	21251
chr1	15200000	15300000	4960	5988
chr1	15300000	15400000	153	184
chr1	15400000	15500000	16490	23831
chr1	15500000	15600000	38121	47533
chr1	15600000	15700000	35443	46787
chr1	15700000	15800000	29763	37358
chr1	15800000	15900000	25965	35320
chr1	15900000	16000000	31063	48605
chr1	16000000	16100000	35985	41115
chr1	16100000	16200000	26564	40897
chr1	16200000	16300000	26734	37804
chr1	16300000	16400000	45936	55115
chr1	16400000	16500000	21686	44544
chr1	16500000	16600000	34833	46325
chr1	16600000	16700000	25905	42152
chr1	16700000	16800000	25578	50207
chr1	16800000	16900000	17417	43030
chr1	16900000	17000000	17204	42509
chr1	17000000	17100000	14648	35791
chr1	17100000	17200000	11470	38316
chr1	17200000	17300000	19914	51189
chr1	17300000	17400000	11793	44784
chr1	17400000	17500000	10966	42500
chr1	17500000	17600000	19658	44868
chr1	17600000	17700000	18743	45456
chr1	17700000	17800000	5880	40403
chr1	17800000	17900000	9269	42891
chr1	17900000	18000000	4887	43241
chr1	18000000	18100000	8655	42405
chr1	18100000	18200000	7204	40626
chr1	18200000	18300000	5322	40078
chr1	18300000	18400000	6886	46692
chr1	18400000	18500000	4688	44035
chr1	18500000	18600000	7366	39948
chr1	18600000	18700000	7303	43059
chr1	18700000	18800000	4938	41513
chr1	18800000	18900000	7675	38989
chr1	18900000	19000000	14413	50244
chr1	19000000	19100000	3462	38078
chr1	19100000	19200000	3391	41155
chr1	19200000	19300000	4162	37320
chr1	19300000	19400000	8560	37860
chr1	19400000	19500000	3745	40829
chr1	19500000	19600000	7509	40501
chr1	19600000	19700000	5457	45178
chr1	19700000	19800000	7809	43104
chr1	19800000	19900000	4117	44424
chr1	19900000	20000000	3609	42640
chr1	20000000	20100000	5036	44666
chr1	20100000	20200000	2368	34616
chr1	20200000	20300000	3147	43998
chr1	20300000	20400000	8449	40016
chr1	20400000	20500000	5749	40804
chr1	20500000	20600000	5239	43278
chr1	20600000	20700000	5206	38092
chr1	20700000	20800000	5467	44917
chr1	20800000	20900000	3351	40365
chr1	20900000	21000000	5046	40379
chr1	21000000	21100000	6127	44205
chr1	21100000	21200000	4430	40845
chr1	21200000	21300000	4165	27168
chr1	21300000	21400000	7008	37412
chr1	21400000	21500000	9325	39258
chr1	21500000	21600000	7554	40342
chr1	21600000	21700000	6946	43366
chr1	21700000	21800000	9573	28754
chr1	21800000	21900000	3471	21977
chr1	21900000	22000000	3622	38850
chr1	22000000	22100000	4904	41957
chr1	22100000	22200000	9271	40776
chr1	22200000	22300000	3719	44397
chr1	22300000	22400000	2177	38126
chr1	22400000	22500000	5506	40437
chr1	22500000	22600000	4180	42668
chr1	22600000	22700000	4351	35023
chr1	22700000	22800000	4271	41853
chr1	22800000	22900000	6725	43319
chr1	22900000	23000000	2705	41280
chr1	23000000	23100000	4087	46066
chr1	23100000	23200000	3490	40331
chr1	23200000	23300000	4977	44878
chr1	23300000	23400000	4178	41480
chr1	23400000	23500000	2511	40018
chr1	23500000	23600000	4960	41658
chr1	23600000	23700000	3315	42810
chr1	23700000	23800000	1548	47488
chr1	23800000	23900000	3998	48725
chr1	23900000	24000000	5227	43884
