Chr	start	end	C_count	CT_count
ENA_LUHQ01000003_LUHQ01000003_1	1	100001	1268	321764
ENA_LUHQ01000003_LUHQ01000003_1	100001	200001	1520	308766
ENA_LUHQ01000003_LUHQ01000003_1	200001	300001	909	322211
ENA_LUHQ01000003_LUHQ01000003_1	300001	400001	780	311495
ENA_LUHQ01000003_LUHQ01000003_1	400001	500001	1651	329308
ENA_LUHQ01000003_LUHQ01000003_1	500001	600001	1532	325524
ENA_LUHQ01000003_LUHQ01000003_1	600001	700001	870	321911
ENA_LUHQ01000003_LUHQ01000003_1	700001	800001	1040	325215
ENA_LUHQ01000003_LUHQ01000003_1	800001	900001	1664	304105
ENA_LUHQ01000003_LUHQ01000003_1	900001	1000001	1471	319357
ENA_LUHQ01000003_LUHQ01000003_1	1000001	1100001	930	315407
ENA_LUHQ01000003_LUHQ01000003_1	1100001	1200001	1557	325773
ENA_LUHQ01000003_LUHQ01000003_1	1200001	1300001	2071	312490
ENA_LUHQ01000003_LUHQ01000003_1	1300001	1400001	1841	328648
ENA_LUHQ01000003_LUHQ01000003_1	1400001	1500001	854	307803
ENA_LUHQ01000003_LUHQ01000003_1	1500001	1600001	1388	322279
ENA_LUHQ01000003_LUHQ01000003_1	1600001	1700001	2276	318295
ENA_LUHQ01000003_LUHQ01000003_1	1700001	1800001	1033	319591
ENA_LUHQ01000003_LUHQ01000003_1	1800001	1900001	1235	320064
ENA_LUHQ01000003_LUHQ01000003_1	1900001	2000001	3484	304103
ENA_LUHQ01000003_LUHQ01000003_1	2000001	2100001	1165	312177
ENA_LUHQ01000003_LUHQ01000003_1	2100001	2200001	1748	333607
ENA_LUHQ01000003_LUHQ01000003_1	2200001	2300001	1968	319625
ENA_LUHQ01000003_LUHQ01000003_1	2300001	2400001	2349	317814
ENA_LUHQ01000003_LUHQ01000003_1	2400001	2500001	905	329281
ENA_LUHQ01000003_LUHQ01000003_1	2500001	2600001	876	317707
ENA_LUHQ01000003_LUHQ01000003_1	2600001	2700001	990	312620
ENA_LUHQ01000003_LUHQ01000003_1	2700001	2800001	1158	313008
ENA_LUHQ01000003_LUHQ01000003_1	2800001	2900001	1298	323152
ENA_LUHQ01000003_LUHQ01000003_1	2900001	3000001	1259	322378
ENA_LUHQ01000003_LUHQ01000003_1	3000001	3100001	3577	324065
ENA_LUHQ01000003_LUHQ01000003_1	3100001	3200001	1879	190854
ENA_LUHQ01000003_LUHQ01000003_1	3200001	3300001	1581	344481
ENA_LUHQ01000003_LUHQ01000003_1	3300001	3400001	949	314661
ENA_LUHQ01000003_LUHQ01000003_1	3400001	3500001	1654	317046
ENA_LUHQ01000003_LUHQ01000003_1	3500001	3600001	1428	310932
ENA_LUHQ01000003_LUHQ01000003_1	3600001	3700001	1244	316817
ENA_LUHQ01000003_LUHQ01000003_1	3700001	3800001	1126	310330
ENA_LUHQ01000003_LUHQ01000003_1	3800001	3900001	1417	333590
ENA_LUHQ01000003_LUHQ01000003_1	3900001	4000001	1084	317992
ENA_LUHQ01000003_LUHQ01000003_1	4000001	4100001	1125	322925
ENA_LUHQ01000003_LUHQ01000003_1	4100001	4200001	1932	328569
ENA_LUHQ01000003_LUHQ01000003_1	4200001	4300001	1089	333084
ENA_LUHQ01000003_LUHQ01000003_1	4300001	4400001	1206	310984
ENA_LUHQ01000003_LUHQ01000003_1	4400001	4500001	2219	324432
ENA_LUHQ01000003_LUHQ01000003_1	4500001	4600001	5490	351582
ENA_LUHQ01000003_LUHQ01000003_1	4600001	4700001	16839	391792
ENA_LUHQ01000003_LUHQ01000003_1	4700001	4800001	1092	311600
ENA_LUHQ01000003_LUHQ01000003_1	4800001	4900001	1046	303281
ENA_LUHQ01000003_LUHQ01000003_1	4900001	5000001	11217	346074
ENA_LUHQ01000003_LUHQ01000003_1	5000001	5100001	1056	314778
ENA_LUHQ01000003_LUHQ01000003_1	5100001	5200001	1144	316349
ENA_LUHQ01000003_LUHQ01000003_1	5200001	5300001	4564	335966
ENA_LUHQ01000003_LUHQ01000003_1	5300001	5400001	9374	371769
ENA_LUHQ01000003_LUHQ01000003_1	5400001	5500001	947	325686
ENA_LUHQ01000003_LUHQ01000003_1	5500001	5600001	1100	317748
ENA_LUHQ01000003_LUHQ01000003_1	5600001	5700001	1074	311306
ENA_LUHQ01000003_LUHQ01000003_1	5700001	5800001	1798	299248
ENA_LUHQ01000003_LUHQ01000003_1	5800001	5900001	1682	298185
ENA_LUHQ01000003_LUHQ01000003_1	5900001	6000001	1989	314835
ENA_LUHQ01000003_LUHQ01000003_1	6000001	6100001	4100	333691
ENA_LUHQ01000003_LUHQ01000003_1	6100001	6200001	1632	303709
ENA_LUHQ01000003_LUHQ01000003_1	6200001	6300001	838	315272
ENA_LUHQ01000003_LUHQ01000003_1	6300001	6400001	2025	324255
ENA_LUHQ01000003_LUHQ01000003_1	6400001	6500001	974	271147
ENA_LUHQ01000003_LUHQ01000003_1	6500001	6600001	1082	321013
ENA_LUHQ01000003_LUHQ01000003_1	6600001	6700001	1536	315085
ENA_LUHQ01000003_LUHQ01000003_1	6700001	6800001	1592	322370
ENA_LUHQ01000003_LUHQ01000003_1	6800001	6900001	1146	315585
ENA_LUHQ01000003_LUHQ01000003_1	6900001	7000001	859	315801
ENA_LUHQ01000003_LUHQ01000003_1	7000001	7100001	1814	325051
ENA_LUHQ01000003_LUHQ01000003_1	7100001	7200001	2412	382537
ENA_LUHQ01000003_LUHQ01000003_1	7200001	7300001	1251	316659
ENA_LUHQ01000003_LUHQ01000003_1	7300001	7400001	4609	324400
ENA_LUHQ01000003_LUHQ01000003_1	7400001	7500001	2029	319501
ENA_LUHQ01000003_LUHQ01000003_1	7500001	7600001	1122	325616
ENA_LUHQ01000003_LUHQ01000003_1	7600001	7700001	1284	324597
ENA_LUHQ01000003_LUHQ01000003_1	7700001	7800001	1590	277397
ENA_LUHQ01000003_LUHQ01000003_1	7800001	7900001	2951	303435
ENA_LUHQ01000003_LUHQ01000003_1	7900001	8000001	1794	305260
ENA_LUHQ01000003_LUHQ01000003_1	8000001	8100001	1923	306275
ENA_LUHQ01000003_LUHQ01000003_1	8100001	8200001	1547	308466
ENA_LUHQ01000003_LUHQ01000003_1	8200001	8300001	4188	309049
ENA_LUHQ01000003_LUHQ01000003_1	8300001	8400001	1653	299977
ENA_LUHQ01000003_LUHQ01000003_1	8400001	8500001	2431	298871
ENA_LUHQ01000003_LUHQ01000003_1	8500001	8600001	9327	373310
ENA_LUHQ01000003_LUHQ01000003_1	8600001	8700001	5781	325910
ENA_LUHQ01000003_LUHQ01000003_1	8700001	8800001	1910	315809
ENA_LUHQ01000003_LUHQ01000003_1	8800001	8900001	3079	307418
ENA_LUHQ01000003_LUHQ01000003_1	8900001	9000001	4684	271506
ENA_LUHQ01000003_LUHQ01000003_1	9000001	9100001	2551	309260
ENA_LUHQ01000003_LUHQ01000003_1	9100001	9200001	5188	233396
ENA_LUHQ01000003_LUHQ01000003_1	9200001	9300001	6054	323311
ENA_LUHQ01000003_LUHQ01000003_1	9300001	9400001	2316	315318
ENA_LUHQ01000003_LUHQ01000003_1	9400001	9500001	7053	299793
ENA_LUHQ01000003_LUHQ01000003_1	9500001	9600001	1525	313569
ENA_LUHQ01000003_LUHQ01000003_1	9600001	9700001	21934	429681
ENA_LUHQ01000003_LUHQ01000003_1	9700001	9800001	10153	317221
ENA_LUHQ01000003_LUHQ01000003_1	9800001	9900001	4094	271683
