Chr	start	end	C_count	CT_count
ENA_LUHQ01000003_LUHQ01000003_1	1	100001	646	70197
ENA_LUHQ01000003_LUHQ01000003_1	100001	200001	1042	70976
ENA_LUHQ01000003_LUHQ01000003_1	200001	300001	297	80916
ENA_LUHQ01000003_LUHQ01000003_1	300001	400001	210	73215
ENA_LUHQ01000003_LUHQ01000003_1	400001	500001	962	78801
ENA_LUHQ01000003_LUHQ01000003_1	500001	600001	636	76271
ENA_LUHQ01000003_LUHQ01000003_1	600001	700001	255	76038
ENA_LUHQ01000003_LUHQ01000003_1	700001	800001	461	74468
ENA_LUHQ01000003_LUHQ01000003_1	800001	900001	2027	66540
ENA_LUHQ01000003_LUHQ01000003_1	900001	1000001	650	69488
ENA_LUHQ01000003_LUHQ01000003_1	1000001	1100001	231	67688
ENA_LUHQ01000003_LUHQ01000003_1	1100001	1200001	691	71184
ENA_LUHQ01000003_LUHQ01000003_1	1200001	1300001	962	73846
ENA_LUHQ01000003_LUHQ01000003_1	1300001	1400001	829	79224
ENA_LUHQ01000003_LUHQ01000003_1	1400001	1500001	455	69975
ENA_LUHQ01000003_LUHQ01000003_1	1500001	1600001	670	70904
ENA_LUHQ01000003_LUHQ01000003_1	1600001	1700001	1810	75684
ENA_LUHQ01000003_LUHQ01000003_1	1700001	1800001	402	70872
ENA_LUHQ01000003_LUHQ01000003_1	1800001	1900001	623	66774
ENA_LUHQ01000003_LUHQ01000003_1	1900001	2000001	2737	69393
ENA_LUHQ01000003_LUHQ01000003_1	2000001	2100001	738	74234
ENA_LUHQ01000003_LUHQ01000003_1	2100001	2200001	908	80186
ENA_LUHQ01000003_LUHQ01000003_1	2200001	2300001	1255	77863
ENA_LUHQ01000003_LUHQ01000003_1	2300001	2400001	1271	69272
ENA_LUHQ01000003_LUHQ01000003_1	2400001	2500001	576	80380
ENA_LUHQ01000003_LUHQ01000003_1	2500001	2600001	291	66392
ENA_LUHQ01000003_LUHQ01000003_1	2600001	2700001	446	75348
ENA_LUHQ01000003_LUHQ01000003_1	2700001	2800001	399	75756
ENA_LUHQ01000003_LUHQ01000003_1	2800001	2900001	477	71629
ENA_LUHQ01000003_LUHQ01000003_1	2900001	3000001	606	81793
ENA_LUHQ01000003_LUHQ01000003_1	3000001	3100001	2692	69673
ENA_LUHQ01000003_LUHQ01000003_1	3100001	3200001	1757	46887
ENA_LUHQ01000003_LUHQ01000003_1	3200001	3300001	725	83859
ENA_LUHQ01000003_LUHQ01000003_1	3300001	3400001	398	73669
ENA_LUHQ01000003_LUHQ01000003_1	3400001	3500001	1571	67766
ENA_LUHQ01000003_LUHQ01000003_1	3500001	3600001	1127	68768
ENA_LUHQ01000003_LUHQ01000003_1	3600001	3700001	628	67015
ENA_LUHQ01000003_LUHQ01000003_1	3700001	3800001	753	64473
ENA_LUHQ01000003_LUHQ01000003_1	3800001	3900001	1029	79355
ENA_LUHQ01000003_LUHQ01000003_1	3900001	4000001	361	76502
ENA_LUHQ01000003_LUHQ01000003_1	4000001	4100001	424	74286
ENA_LUHQ01000003_LUHQ01000003_1	4100001	4200001	853	69098
ENA_LUHQ01000003_LUHQ01000003_1	4200001	4300001	342	83264
ENA_LUHQ01000003_LUHQ01000003_1	4300001	4400001	751	73146
ENA_LUHQ01000003_LUHQ01000003_1	4400001	4500001	1176	66553
ENA_LUHQ01000003_LUHQ01000003_1	4500001	4600001	3260	70836
ENA_LUHQ01000003_LUHQ01000003_1	4600001	4700001	17876	86508
ENA_LUHQ01000003_LUHQ01000003_1	4700001	4800001	534	77961
ENA_LUHQ01000003_LUHQ01000003_1	4800001	4900001	336	64013
ENA_LUHQ01000003_LUHQ01000003_1	4900001	5000001	16200	86595
ENA_LUHQ01000003_LUHQ01000003_1	5000001	5100001	338	72608
ENA_LUHQ01000003_LUHQ01000003_1	5100001	5200001	509	73989
ENA_LUHQ01000003_LUHQ01000003_1	5200001	5300001	3615	68813
ENA_LUHQ01000003_LUHQ01000003_1	5300001	5400001	12003	79704
ENA_LUHQ01000003_LUHQ01000003_1	5400001	5500001	434	72246
ENA_LUHQ01000003_LUHQ01000003_1	5500001	5600001	489	66064
ENA_LUHQ01000003_LUHQ01000003_1	5600001	5700001	231	56152
ENA_LUHQ01000003_LUHQ01000003_1	5700001	5800001	1239	65353
ENA_LUHQ01000003_LUHQ01000003_1	5800001	5900001	864	65705
ENA_LUHQ01000003_LUHQ01000003_1	5900001	6000001	1739	68700
ENA_LUHQ01000003_LUHQ01000003_1	6000001	6100001	5959	71527
ENA_LUHQ01000003_LUHQ01000003_1	6100001	6200001	1253	73754
ENA_LUHQ01000003_LUHQ01000003_1	6200001	6300001	311	76650
ENA_LUHQ01000003_LUHQ01000003_1	6300001	6400001	1892	74069
ENA_LUHQ01000003_LUHQ01000003_1	6400001	6500001	556	55863
ENA_LUHQ01000003_LUHQ01000003_1	6500001	6600001	818	72026
ENA_LUHQ01000003_LUHQ01000003_1	6600001	6700001	1303	70981
ENA_LUHQ01000003_LUHQ01000003_1	6700001	6800001	480	68963
ENA_LUHQ01000003_LUHQ01000003_1	6800001	6900001	632	72625
ENA_LUHQ01000003_LUHQ01000003_1	6900001	7000001	298	76199
ENA_LUHQ01000003_LUHQ01000003_1	7000001	7100001	1094	74965
ENA_LUHQ01000003_LUHQ01000003_1	7100001	7200001	901	83367
ENA_LUHQ01000003_LUHQ01000003_1	7200001	7300001	641	69651
ENA_LUHQ01000003_LUHQ01000003_1	7300001	7400001	3684	63721
ENA_LUHQ01000003_LUHQ01000003_1	7400001	7500001	1151	68176
ENA_LUHQ01000003_LUHQ01000003_1	7500001	7600001	430	64318
ENA_LUHQ01000003_LUHQ01000003_1	7600001	7700001	931	66391
ENA_LUHQ01000003_LUHQ01000003_1	7700001	7800001	1016	47691
ENA_LUHQ01000003_LUHQ01000003_1	7800001	7900001	1951	51663
ENA_LUHQ01000003_LUHQ01000003_1	7900001	8000001	995	63613
ENA_LUHQ01000003_LUHQ01000003_1	8000001	8100001	1192	57525
ENA_LUHQ01000003_LUHQ01000003_1	8100001	8200001	1102	60755
ENA_LUHQ01000003_LUHQ01000003_1	8200001	8300001	3276	51774
ENA_LUHQ01000003_LUHQ01000003_1	8300001	8400001	1343	53316
ENA_LUHQ01000003_LUHQ01000003_1	8400001	8500001	2103	51522
ENA_LUHQ01000003_LUHQ01000003_1	8500001	8600001	6286	66725
ENA_LUHQ01000003_LUHQ01000003_1	8600001	8700001	5336	64010
ENA_LUHQ01000003_LUHQ01000003_1	8700001	8800001	947	66173
