Chr	start	end	C_count	CT_count
ENA_LUHQ01000003_LUHQ01000003_1	1	100001	7723	61182
ENA_LUHQ01000003_LUHQ01000003_1	100001	200001	9276	57799
ENA_LUHQ01000003_LUHQ01000003_1	200001	300001	6864	66631
ENA_LUHQ01000003_LUHQ01000003_1	300001	400001	5763	63172
ENA_LUHQ01000003_LUHQ01000003_1	400001	500001	12113	55723
ENA_LUHQ01000003_LUHQ01000003_1	500001	600001	7648	62700
ENA_LUHQ01000003_LUHQ01000003_1	600001	700001	6497	65105
ENA_LUHQ01000003_LUHQ01000003_1	700001	800001	9400	58352
ENA_LUHQ01000003_LUHQ01000003_1	800001	900001	7930	61962
ENA_LUHQ01000003_LUHQ01000003_1	900001	1000001	7284	56497
ENA_LUHQ01000003_LUHQ01000003_1	1000001	1100001	4232	60755
ENA_LUHQ01000003_LUHQ01000003_1	1100001	1200001	9966	58743
ENA_LUHQ01000003_LUHQ01000003_1	1200001	1300001	11738	63529
ENA_LUHQ01000003_LUHQ01000003_1	1300001	1400001	9505	57512
ENA_LUHQ01000003_LUHQ01000003_1	1400001	1500001	6135	55848
ENA_LUHQ01000003_LUHQ01000003_1	1500001	1600001	7443	58004
ENA_LUHQ01000003_LUHQ01000003_1	1600001	1700001	10469	62050
ENA_LUHQ01000003_LUHQ01000003_1	1700001	1800001	5739	53363
ENA_LUHQ01000003_LUHQ01000003_1	1800001	1900001	5316	60725
ENA_LUHQ01000003_LUHQ01000003_1	1900001	2000001	12136	65792
ENA_LUHQ01000003_LUHQ01000003_1	2000001	2100001	9629	57163
ENA_LUHQ01000003_LUHQ01000003_1	2100001	2200001	11556	62310
ENA_LUHQ01000003_LUHQ01000003_1	2200001	2300001	12977	56991
ENA_LUHQ01000003_LUHQ01000003_1	2300001	2400001	6360	63607
ENA_LUHQ01000003_LUHQ01000003_1	2400001	2500001	7392	60155
ENA_LUHQ01000003_LUHQ01000003_1	2500001	2600001	6200	53102
ENA_LUHQ01000003_LUHQ01000003_1	2600001	2700001	7527	57584
ENA_LUHQ01000003_LUHQ01000003_1	2700001	2800001	7963	62310
ENA_LUHQ01000003_LUHQ01000003_1	2800001	2900001	7625	60546
ENA_LUHQ01000003_LUHQ01000003_1	2900001	3000001	6728	70725
