Chr	start	end	C_count	CT_count
chr1	0	100000	1660	227695
chr1	100000	200000	728	226390
chr1	200000	300000	2122	236534
chr1	300000	400000	709	233432
chr1	400000	500000	1362	229661
chr1	500000	600000	1203	220028
chr1	600000	700000	1098	234462
chr1	700000	800000	1115	231733
chr1	800000	900000	895	232614
chr1	900000	1000000	794	229207
chr1	1000000	1100000	737	246201
chr1	1100000	1200000	1151	232261
chr1	1200000	1300000	1191	241543
chr1	1300000	1400000	720	237649
chr1	1400000	1500000	2236	225268
chr1	1500000	1600000	871	226723
chr1	1600000	1700000	973	240798
chr1	1700000	1800000	1052	240992
chr1	1800000	1900000	1039	234664
chr1	1900000	2000000	1079	230495
chr1	2000000	2100000	708	247770
chr1	2100000	2200000	756	232099
chr1	2200000	2300000	727	224231
chr1	2300000	2400000	745	227348
chr1	2400000	2500000	878	224326
chr1	2500000	2600000	1291	222899
chr1	2600000	2700000	852	240651
chr1	2700000	2800000	695	216086
chr1	2800000	2900000	732	236651
chr1	2900000	3000000	925	231505
chr1	3000000	3100000	1324	233642
chr1	3100000	3200000	735	243650
chr1	3200000	3300000	840	238020
chr1	3300000	3400000	1313	234852
chr1	3400000	3500000	1515	239141
chr1	3500000	3600000	1061	236259
chr1	3600000	3700000	705	246772
chr1	3700000	3800000	1010	222734
chr1	3800000	3900000	2712	228005
chr1	3900000	4000000	1328	226458
chr1	4000000	4100000	1034	228352
chr1	4100000	4200000	1493	228058
chr1	4200000	4300000	1004	232599
chr1	4300000	4400000	877	242340
chr1	4400000	4500000	2028	229809
chr1	4500000	4600000	1094	232508
chr1	4600000	4700000	1340	232284
chr1	4700000	4800000	1098	239164
chr1	4800000	4900000	1335	236897
chr1	4900000	5000000	1135	234903
chr1	5000000	5100000	800	231489
chr1	5100000	5200000	1082	224756
chr1	5200000	5300000	872	239211
chr1	5300000	5400000	1618	231137
chr1	5400000	5500000	771	235736
chr1	5500000	5600000	870	242371
chr1	5600000	5700000	5132	232579
chr1	5700000	5800000	1092	244259
chr1	5800000	5900000	1086	242216
chr1	5900000	6000000	3435	239843
chr1	6000000	6100000	5552	253654
chr1	6100000	6200000	1945	227048
chr1	6200000	6300000	1771	212953
chr1	6300000	6400000	840	232383
chr1	6400000	6500000	1899	238036
chr1	6500000	6600000	6582	240045
chr1	6600000	6700000	1565	218696
chr1	6700000	6800000	2599	217327
chr1	6800000	6900000	684	230452
chr1	6900000	7000000	817	234226
chr1	7000000	7100000	4504	222503
chr1	7100000	7200000	960	232531
chr1	7200000	7300000	1572	227439
chr1	7300000	7400000	1097	195372
chr1	7400000	7500000	1664	231907
chr1	7500000	7600000	854	230945
chr1	7600000	7700000	891	232653
chr1	7700000	7800000	3888	237917
chr1	7800000	7900000	1067	234564
chr1	7900000	8000000	5922	231629
chr1	8000000	8100000	979	229453
chr1	8100000	8200000	1414	232683
chr1	8200000	8300000	3397	222352
chr1	8300000	8400000	1912	235911
chr1	8400000	8500000	3635	208024
chr1	8500000	8600000	1490	246245
chr1	8600000	8700000	2368	231391
chr1	8700000	8800000	7183	173702
chr1	8800000	8900000	975	148224
chr1	8900000	9000000	5318	243531
chr1	9000000	9100000	2205	224131
chr1	9100000	9200000	2679	237714
chr1	9200000	9300000	1479	242556
chr1	9300000	9400000	6007	235316
chr1	9400000	9500000	869	228906
chr1	9500000	9600000	7622	235024
chr1	9600000	9700000	2493	205582
chr1	9700000	9800000	1696	232934
chr1	9800000	9900000	1535	230396
chr1	9900000	10000000	2532	246065
chr1	10000000	10100000	1843	230876
chr1	10100000	10200000	1990	233703
chr1	10200000	10300000	1079	216755
chr1	10300000	10400000	6849	247314
chr1	10400000	10500000	1219	240538
chr1	10500000	10600000	3418	207531
chr1	10600000	10700000	5276	239763
chr1	10700000	10800000	2777	243155
chr1	10800000	10900000	1419	234109
